Nome científico;Nome vulgar
Lecythis lurida (Miers.) S.A.Mori;Jarana
Lecythis pisonis Cambess.;Sapucaia-vermelha
Lueheopsis duckeana Burret;Açoita-cavalo-verdadeiro
Manilkara bidentata (A. DC.) A. Chev.;Maçaranduba-da-marinha
Manilkara cavalcantei Pires & W.A. Rodrigues ex T.D. Penn.;Maçaranduba-de-leite
Manilkara huberi (Ducke) A. Chev.;Maçaranduba-da-terra-firme
Maquira sclerophylla (Ducke) C.C. Berg;Muiratinga-da-terra-firme
Martiodendron elatum (Ducke) Gleason;Tamarindo
Melanoxylon brauna Schott;Braúna
Mezilaurus itauba (Meisn.) Taub. ex Mez;Itaúba
Mezilaurus lindaviana Schwacke & Mez;Itaúba-amarela
Micropholis melinoniana Pierre;Curupixá
Mora paraensis (Ducke) Ducke;Pracuúba-vermelha
Myracrodruon urundeuva Allemão;Aroeira-verdadeira
Myroxylon peruiferum L.f.;Bálsamo
Ocotea fragrantissima Ducke;Louro-preto
Ocotea porosa (Nees & Mart.) Barroso;Imbuia
Onychopetalum amazonicum R.E. Fr.;Envira-preta-lisa
Osteophloeum platyspermum (Spruce ex A. DC.) Warb.;Ucuubarana
Parahancornia fasciculata (Poir.) Benoist.;Amapá-amargoso
Paratecoma peroba (Record.) Kuhlm.;Ipê-peroba
Parkia multijuga Benth.;Faveira-arara-tucupi
Parkia pendula (Willd.) Benth. ex Walp.;Faveira-bolota
Paulownia tomentosa (Thunb.) Steud.;Quiri
Peltogyne maranhensis Huber ex Ducke;Pau-roxo-do-maranhão
Peltogyne subsessilis W.A. Rodrigues;Pau-roxo
Pinus elliottii Engelm.;Pinus
Piptadenia gonoacantha (Mart.) J.F. Macbr.;Pau-jacaré
Plathymenia reticulata Benth.;Vinhático-cabeleira
Platymiscium trinitatis var. duckei (Huber) Klitg.;Macacaúba-do-campo
Protium heptaphyllum (Aubl.) Marchand;Amescla-vermelha
Pseudopiptadenia suaveolens (Miq.) J.W. Grimes;Faveira-de-folha-fina
Pterocarpus rohrii Vahl;Mututi-da-terra-firme
Pterogyne nitens Tul.;Pau-amendoim
Qualea dinizii Ducke;Catuaba
Qualea gracilior Pilg.;Mandioqueira
Qualea paraensis Ducke;Mandioqueira-vermelha
Roupala montana Aubl. var. montana;Carne-de-vaca
Savia dictyocarpa Müll.Arg.;Guaraiúva
"Schefflera morototoni (Aubl.) Maguire, Steyerm. & Frodin";Morototó
Schizolobium parahyba var. amazonicum (Huber ex Ducke) Barneby;Pinho-cuiabano
Sextonia rubra (Mez) van der Werff;Louro-vermelho
Simarouba amara Aubl.;Marupá-verdadeiro
Spondias mombin L.;Cajazeiro
Sterculia excelsa Mart.;Xixá
Swietenia macrophylla King;Mogno
Symphonia globulifera L. f.;Anani-da-terra-firme
Tachigali aurea Tul.;Carvoeiro-fedido
Tachigali glauca Tul.;Taxi-preto-de-folha-grande
Tachigali pilgeriana (Harms) Oliveira-Filho;Ingá-louro
Tapirira guianensis Aubl.;Tatapiririca
Terminalia amazonia (J.F. Gmel.) Exell;Cinzeiro
Trattinnickia burserifolia Mart.;Amesclão
Vataireopsis araroba (Aguiar) Ducke;Angelim-araroba
Virola bicuhyba (Schott ex Spreng.) Warb.;Bicuíba
Virola surinamensis (Rol. ex Rottb.) Warb.;Virola-das-ilhas
Vitex polygama Cham.;Tarumã-tuira
Vochysia maxima Ducke;Quaruba-cedro
