picada,placa,codigo,comum,cap,dap,cc,hc,qf,g,volume,cientifico,familia,obs,categoria,coordx,coordy
72,1657,640,Imbiridiba amarela,134,42.65,45,11,1,0.1429,1.1002,"Terminalia amazonica (J, F, Gmel,) Exell",Combretaceae,,APP,588645.289,8892850.237
73,1658,571,Castanharana branca,157,49.97,45,17,1,0.1962,2.3342,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Corte futuro,588654.891,8892798.923
73,1659,61,Aroeira,158,50.29,55,18,2,0.1987,2.5031,Astronium lecointei Ducke,Anacardiaceae,,Porta Semente,588761.615,8892788.577
73,1660,264,Guariúba,198,63.03,65,14,2,0.312,3.0574,"Clarisia racemosa Ruiz & Pav,",Moraceae,,Rara,588791.712,8892804.213
73,1661,322,Jutaí,227,72.26,75,18,1,0.4101,5.1667,Hymenaea oblongifolia Huber,Caesalpiniaceae,,Explorável,588802.899,8892802.943
73,1662,255,Garapeira,163,51.88,55,16,1,0.2114,2.368,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,588804.524,8892791.447
73,1663,157,Catuaba,210,66.85,65,17,1,0.3509,4.1761,"Qualea tessmannii Mildbr,",Vochysiaceae,,Explorável,588831.829,8892814.597
73,1664,322,Jutaí,179,56.98,55,18,2,0.255,3.2127,Hymenaea oblongifolia Huber,Caesalpiniaceae,,Porta Semente,588851.868,8892815.854
73,1665,610,Amarelão,153,48.7,45,19,1,0.1863,2.4776,Aspidosperma williamsii Duarte,Apocynaceae,,Corte futuro,588863.143,8892809.385
73,1666,528,Tamarina,148,47.11,45,15,1,0.1743,1.8302,"Dialium guianense (Aubl,) Sandwith",Caesalpiniaceae,,Corte futuro,588878.456,8892808.995
73,1667,528,Tamarina,208,66.21,65,9,2,0.3443,2.169,"Dialium guianense (Aubl,) Sandwith",Caesalpiniaceae,,Porta Semente,588871.576,8892813.322
73,1668,154,Castanharana vermelha,168,53.48,55,16,1,0.2246,2.5155,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,APP,588888.093,8892805.523
73,1669,160,Caucho,188,59.84,55,11,2,0.2813,2.1657,"Castilla ulei Warb,",Moraceae,,APP,588888.759,8892811.194
73,1670,467,Pinho cuiabano,169,53.79,55,16,1,0.2273,2.5455,"Schizolobium amazonicum Huber ex Ducke,",Caesalpiniaceae,,APP,588968.335,8892818.969
73,1671,160,Caucho,133,42.34,45,12,1,0.1408,1.1824,"Castilla ulei Warb,",Moraceae,,Corte futuro,589092.883,8892835.178
74,1672,467,Pinho cuiabano,181,57.61,55,15,2,0.2607,2.7374,"Schizolobium amazonicum Huber ex Ducke,",Caesalpiniaceae,,Porta Semente,589117.404,8892754.251
74,1673,61,Aroeira,140,44.56,45,13,1,0.156,1.4193,Astronium lecointei Ducke,Anacardiaceae,,Corte futuro,589012.876,8892794.122
74,1674,369,Marfim,124,39.47,35,13,1,0.1224,1.1135,Agonandra brasiliensis Miers ex Benth,Opiliaceae,,Rara,589002.528,8892792.692
74,1675,610,Amarelão,120,38.2,35,15,2,0.1146,1.2032,Aspidosperma williamsii Duarte,Apocynaceae,,Corte futuro,589002.735,8892787.149
74,1676,61,Aroeira,201,63.98,65,18,1,0.3215,4.0509,Astronium lecointei Ducke,Anacardiaceae,,Explorável,588996.201,8892812.523
74,1677,610,Amarelão,198,63.03,65,16,2,0.312,3.4941,Aspidosperma williamsii Duarte,Apocynaceae,,APP,588894.388,8892742.715
74,1678,255,Garapeira,220,70.03,75,15,1,0.3852,4.0441,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,APP,588885.893,8892758.798
74,1679,154,Castanharana vermelha,196,62.39,65,17,1,0.3057,3.6379,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,588837.006,8892756.972
74,1680,160,Caucho,165,52.52,55,12,1,0.2166,1.8199,"Castilla ulei Warb,",Moraceae,,Explorável,588820.381,8892773.233
74,1681,154,Castanharana vermelha,220,70.03,75,14,1,0.3852,3.7745,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,588816.905,8892771.74
74,1682,182,Copaíba,339,107.91,105,14,1,0.9145,8.9622,Copaifera multijuga Hayne,Caesalpiniaceae,,Explorável,588845.59,8892750.825
74,1683,528,Tamarina,188,59.84,55,10,1,0.2813,1.9688,"Dialium guianense (Aubl,) Sandwith",Caesalpiniaceae,,Explorável,588849.64,8892757.988
74,1684,528,Tamarina,170,54.11,55,15,1,0.23,2.4148,"Dialium guianense (Aubl,) Sandwith",Caesalpiniaceae,,Explorável,588802.18,8892757.41
74,1685,528,Tamarina,243,77.35,75,16,1,0.4699,5.2628,"Dialium guianense (Aubl,) Sandwith",Caesalpiniaceae,,Explorável,588766.553,8892794.089
74,1686,154,Castanharana vermelha,209,66.53,65,16,1,0.3476,3.8931,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,APP,588725.348,8892785.543
74,1687,61,Aroeira,167,53.16,55,18,1,0.2219,2.7964,Astronium lecointei Ducke,Anacardiaceae,,APP,588640.465,8892745.416
75,1688,154,Castanharana vermelha,236,75.12,75,15,1,0.4432,4.6538,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Porta Semente,588623.086,8892689.821
75,1689,160,Caucho,229,72.89,75,16,1,0.4173,4.6739,"Castilla ulei Warb,",Moraceae,,APP,588633.549,8892700.825
75,1690,192,Cumaru ferro,314,99.95,95,15,1,0.7846,8.2383,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Explorável,588735.072,8892712.541
75,1691,307,Jequitibá,206,65.57,65,16,1,0.3377,3.7822,Cariniana micrantha Ducke,Lecythidaceae,,Porta Semente,588774.784,8892670.671
75,1692,61,Aroeira,229,72.89,75,16,3,0.4173,4.6739,Astronium lecointei Ducke,Anacardiaceae,Oco,Porta Semente,588778.802,8892709.504
75,1693,255,Garapeira,220,70.03,75,15,1,0.3852,4.0441,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,588756.388,8892713.758
75,1694,267,Imbirindiba,226,71.94,75,14,2,0.4064,3.9832,"Terminalia oblonga (Ruiz & Pav,) Steud,",Combretaceae,,Rara,588840.738,8892728.046
75,1695,528,Tamarina,167,53.16,55,12,1,0.2219,1.8642,"Dialium guianense (Aubl,) Sandwith",Caesalpiniaceae,,Explorável,588855.485,8892747.482
75,1696,246,Figueira,377,120,125,16,2,1.131,12.6675,"Ficus maxima Mill,",Moraceae,,APP,588966.194,8892699.182
75,1697,434,Ipê amarelo,133,42.34,45,15,1,0.1408,1.478,"Tabebuia serratifolia (Vahl) G, Nicholson",Bignoniaceae,,Corte futuro,588989.485,8892719.273
76,1698,246,Figueira,307,97.72,95,14,1,0.75,7.3501,"Ficus maxima Mill,",Moraceae,,Explorável,589082.334,8892651.97
76,1699,255,Garapeira,187,59.52,55,14,2,0.2783,2.7271,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,APP,588990.048,8892641.761
76,1700,160,Caucho,176,56.02,55,12,2,0.2465,2.0706,"Castilla ulei Warb,",Moraceae,,APP,588972.589,8892643.945
76,1701,571,Castanharana branca,207,65.89,65,17,1,0.341,4.0577,"Eschweilera juruensis R, Knuth",Lecythidaceae,,APP,588946.272,8892656.17
76,1702,263,Guaribeiro,257,81.81,85,18,1,0.5256,6.6226,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,APP,588945.744,8892665.468
76,1703,168,Cedro rosa,223,70.98,75,14,2,0.3957,3.8782,"Cedrela odorata L,",Meliaceae,,APP,588945.466,8892653.234
76,1704,640,Imbiridiba amarela,181,57.61,55,14,2,0.2607,2.5549,"Terminalia amazonica (J, F, Gmel,) Exell",Combretaceae,,Porta Semente,588885.128,8892642.029
76,1705,369,Marfim,134,42.65,45,15,1,0.1429,1.5003,Agonandra brasiliensis Miers ex Benth,Opiliaceae,,Rara,588859.575,8892643.714
76,1706,571,Castanharana branca,168,53.48,55,16,1,0.2246,2.5155,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,588837.367,8892634.955
76,1707,304,Jatobá,270,85.94,85,15,1,0.5801,6.0913,"Hymenaea courbaril L,",Caesalpiniaceae,,Rara,588833.492,8892646.772
76,1708,610,Amarelão,190,60.48,65,17,1,0.2873,3.4186,Aspidosperma williamsii Duarte,Apocynaceae,,Explorável,588847.057,8892626.478
76,1709,263,Guaribeiro,213,67.8,65,15,1,0.361,3.7909,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588810.34,8892627.542
76,1710,394,Mulateiro,231,73.53,75,14,2,0.4246,4.1614,"Calycophyllum spruceanum (Benth,) K, Schum,",Rubiaceae,,Porta Semente,588809.587,8892623.966
76,1711,263,Guaribeiro,223,70.98,75,16,1,0.3957,4.4322,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588773.798,8892617.427
76,1712,516,Sumauma preta,159,50.61,55,11,2,0.2012,1.5491,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Porta Semente,588759.819,8892611.122
76,1713,577,Marfim roxo,181,57.61,55,12,1,0.2607,2.1899,"Aspidosperma desmanthum Benth, ex M³ll, Arg,",Apocynaceae,,Porta Semente,588726.667,8892608.173
76,1714,467,Pinho cuiabano,232,73.85,75,15,1,0.4283,4.4973,"Schizolobium amazonicum Huber ex Ducke,",Caesalpiniaceae,,Explorável,588718.922,8892608.257
76,1715,467,Pinho cuiabano,188,59.84,55,16,1,0.2813,3.1501,"Schizolobium amazonicum Huber ex Ducke,",Caesalpiniaceae,,APP,588676.13,8892618.928
77,1716,154,Castanharana vermelha,191,60.8,65,17,1,0.2903,3.4546,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,588750.33,8892577.557
77,1717,168,Cedro rosa,220,70.03,75,12,1,0.3852,3.2353,"Cedrela odorata L,",Meliaceae,,Explorável,588752.754,8892558.681
77,1718,263,Guaribeiro,244,77.67,75,17,1,0.4738,5.6379,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588798.061,8892599.127
77,1719,154,Castanharana vermelha,163,51.88,55,14,1,0.2114,2.072,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,588830.874,8892602.207
77,1720,291,Itaúba,263,83.72,85,17,1,0.5504,6.5501,"Mezilaurus itauba (Meisn,) Taub, ex Mez",Lauraceae,,Rara,588856.109,8892601.774
77,1721,322,Jutaí,213,67.8,65,15,1,0.361,3.7909,Hymenaea oblongifolia Huber,Caesalpiniaceae,,Explorável,588878.788,8892611.775
77,1722,304,Jatobá,271,86.26,85,19,1,0.5844,7.7729,"Hymenaea courbaril L,",Caesalpiniaceae,,Rara,588946.52,8892618.967
77,1723,462,Pereiro,159,50.61,55,14,1,0.2012,1.9716,"Aspidosperma macrocarpon Mart,",Apocynaceae,,Rara,589063.188,8892632.721
78,1724,157,Catuaba,223,70.98,75,15,2,0.3957,4.1552,"Qualea tessmannii Mildbr,",Vochysiaceae,,APP,589049.608,8892565.04
78,1725,61,Aroeira,159,50.61,55,17,1,0.2012,2.394,Astronium lecointei Ducke,Anacardiaceae,,Porta Semente,588952.794,8892558.837
78,1726,640,Imbiridiba amarela,229,72.89,75,16,2,0.4173,4.6739,"Terminalia amazonica (J, F, Gmel,) Exell",Combretaceae,,Explorável,588951.781,8892561.713
78,1727,160,Caucho,178,56.66,55,11,2,0.2521,1.9414,"Castilla ulei Warb,",Moraceae,,Porta Semente,588900.776,8892550.374
78,1728,9,Abiurana vermelha,172,54.75,55,12,2,0.2354,1.9775,"Pouteria torta (Mart,) Radlk, subsp, tuberculata (Sleumer) T, D, Penn",Sapotaceae,,Porta Semente,588899.188,8892539.682
78,1729,571,Castanharana branca,183,58.25,55,13,1,0.2665,2.4251,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,588882.575,8892541.79
78,1730,160,Caucho,179,56.98,55,10,2,0.255,1.7848,"Castilla ulei Warb,",Moraceae,,Porta Semente,588835.33,8892549.923
78,1731,154,Castanharana vermelha,195,62.07,65,18,1,0.3026,3.8127,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,588638.161,8892536.413
79,1732,516,Sumauma preta,188,59.84,55,11,2,0.2813,2.1657,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588689.377,8892484.413
79,1733,168,Cedro rosa,183,58.25,55,12,1,0.2665,2.2386,"Cedrela odorata L,",Meliaceae,,Explorável,588679.376,8892474.65
79,1734,160,Caucho,223,70.98,75,10,1,0.3957,2.7701,"Castilla ulei Warb,",Moraceae,,Explorável,588722.446,8892471.986
79,1735,255,Garapeira,220,70.03,75,15,1,0.3852,4.0441,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,588726.584,8892462.365
79,1736,516,Sumauma preta,251,79.9,75,13,2,0.5013,4.5622,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588784.117,8892506.043
79,1737,61,Aroeira,136,43.29,45,16,1,0.1472,1.6485,Astronium lecointei Ducke,Anacardiaceae,,Corte futuro,588822.301,8892507.961
79,1738,160,Caucho,141,44.88,45,11,1,0.1582,1.2182,"Castilla ulei Warb,",Moraceae,,Corte futuro,588837.448,8892507.163
79,1739,157,Catuaba,269,85.63,85,15,2,0.5758,6.0462,"Qualea tessmannii Mildbr,",Vochysiaceae,,Porta Semente,588884.263,8892518.532
79,1740,263,Guaribeiro,223,70.98,75,16,1,0.3957,4.4322,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588881.039,8892537.465
79,1741,40,Angelim,197,62.71,65,13,2,0.3088,2.8104,Hymenolobium excelsum Ducke,Fabaceae,,Rara,588921.846,8892541.054
79,1742,75,Bálsamo,222,70.66,75,15,1,0.3922,4.118,"Myroxylon balsamum (L,) Harms",Fabaceae,,Rara,588925.029,8892531.601
79,1743,154,Castanharana vermelha,121,38.52,35,17,1,0.1165,1.3865,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Corte futuro,588922.246,8892550.404
79,1744,160,Caucho,229,72.89,75,13,1,0.4173,3.7975,"Castilla ulei Warb,",Moraceae,,Explorável,588985.039,8892521.833
79,1745,516,Sumauma preta,226,71.94,75,15,2,0.4064,4.2677,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,APP,589056.684,8892524.826
79,1746,716,Manitê,220,70.03,75,14,1,0.3852,3.7745,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Explorável,589116.861,8892515.428
80,1747,168,Cedro rosa,130,41.38,45,11,1,0.1345,1.0355,"Cedrela odorata L,",Meliaceae,,Corte futuro,589133.92,8892463.103
80,1748,154,Castanharana vermelha,195,62.07,65,16,1,0.3026,3.389,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,589110.582,8892461.437
80,1749,168,Cedro rosa,129,41.06,45,10,1,0.1324,0.927,"Cedrela odorata L,",Meliaceae,,Corte futuro,589110.134,8892462.476
80,1750,155,Castanheira,,,#VALUE!,,,,,"Bertholletia excelsa Kunth,",Lecythidaceae,,APP,589071.658,8892472.498
80,1751,516,Sumauma preta,190,60.48,65,10,1,0.2873,2.0109,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,589000.399,8892484.518
80,1752,45,Angico,188,59.84,55,13,1,0.2813,2.5595,"Parkia nitida Miq,",Mimosaceae,,Porta Semente,588950.121,8892477.172
80,1753,160,Caucho,214,68.12,65,10,1,0.3644,2.551,"Castilla ulei Warb,",Moraceae,,Explorável,588945.162,8892489.159
80,1754,516,Sumauma preta,314,99.95,95,14,2,0.7846,7.6891,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588949.834,8892483.494
80,1755,263,Guaribeiro,198,63.03,65,16,1,0.312,3.4941,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588944.02,8892487.92
80,1756,304,Jatobá,142,45.2,45,17,1,0.1605,1.9095,"Hymenaea courbaril L,",Caesalpiniaceae,,Rara,588939.748,8892495.261
80,1757,462,Pereiro,186,59.21,55,12,2,0.2753,2.3126,"Aspidosperma macrocarpon Mart,",Apocynaceae,,Rara,588841.721,8892470.506
80,1758,263,Guaribeiro,207,65.89,65,16,2,0.341,3.819,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Porta Semente,588801.915,8892440.371
80,1759,716,Manitê,258,82.12,85,16,1,0.5297,5.9326,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Explorável,588734.848,8892427.403
80,1760,382,Mogno/Aguano,267,84.99,85,17,3,0.5673,6.7509,Swietenia macrophylla King,Meliaceae,,Proibida,588732.761,8892422.969
80,1761,263,Guaribeiro,193,61.43,65,15,1,0.2964,3.1124,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588730.63,8892430.286
81,1762,291,Itaúba,239,76.08,75,15,3,0.4546,4.7728,"Mezilaurus itauba (Meisn,) Taub, ex Mez",Lauraceae,,Rara,588676.806,8892404.217
81,1763,255,Garapeira,273,86.9,85,16,1,0.5931,6.6425,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,588717.446,8892400.141
81,1764,263,Guaribeiro,209,66.53,65,15,1,0.3476,3.6498,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588730.68,8892413.455
81,1765,516,Sumauma preta,214,68.12,65,16,1,0.3644,4.0816,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588779.424,8892417.265
81,1766,263,Guaribeiro,250,79.58,75,15,1,0.4974,5.2223,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588783.453,8892407.876
81,1767,516,Sumauma preta,146,46.47,45,11,1,0.1696,1.3061,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Corte futuro,588784.003,8892422.602
81,1768,168,Cedro rosa,187,59.52,55,15,2,0.2783,2.9219,"Cedrela odorata L,",Meliaceae,,Porta Semente,588866.453,8892418.812
81,1769,516,Sumauma preta,283,90.08,95,14,1,0.6373,6.2458,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588874.358,8892424.307
81,1770,528,Tamarina,203,64.62,65,14,1,0.3279,3.2137,"Dialium guianense (Aubl,) Sandwith",Caesalpiniaceae,,Explorável,588995.701,8892423.285
81,1771,154,Castanharana vermelha,192,61.12,65,16,1,0.2934,3.2856,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,589130.954,8892434.036
82,1772,516,Sumauma preta,242,77.03,75,12,3,0.466,3.9147,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Porta Semente,589134.627,8892392.533
82,1773,263,Guaribeiro,229,72.89,75,17,1,0.4173,4.966,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,589128.631,8892389.675
82,1774,160,Caucho,139,44.25,45,16,2,0.1538,1.722,"Castilla ulei Warb,",Moraceae,,Corte futuro,589141.17,8892381.932
82,1775,255,Garapeira,333,106,105,16,3,0.8824,9.8832,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Porta Semente,589060.222,8892383.763
82,1776,571,Castanharana branca,157,49.97,45,16,1,0.1962,2.1969,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Corte futuro,589015.351,8892371.343
82,1777,610,Amarelão,146,46.47,45,17,1,0.1696,2.0186,Aspidosperma williamsii Duarte,Apocynaceae,,Corte futuro,588998.306,8892369.764
82,1778,513,Sumauma branca,251,79.9,75,17,1,0.5013,5.966,"Ceiba pentandra (L,) Gaertn,",Malvaceae,,Porta Semente,588941.866,8892366.687
82,1779,255,Garapeira,220,70.03,75,16,1,0.3852,4.3137,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,588947.984,8892355.485
82,1780,307,Jequitibá,314,99.95,95,17,2,0.7846,9.3368,Cariniana micrantha Ducke,Lecythidaceae,,Porta Semente,588924.779,8892344.42
82,1781,467,Pinho cuiabano,182,57.93,55,16,1,0.2636,2.9522,"Schizolobium amazonicum Huber ex Ducke,",Caesalpiniaceae,,Explorável,588785.882,8892372.076
82,1782,467,Pinho cuiabano,220,70.03,75,17,1,0.3852,4.5833,"Schizolobium amazonicum Huber ex Ducke,",Caesalpiniaceae,,Explorável,588772.524,8892372.09
82,1783,716,Manitê,314,99.95,95,14,2,0.7846,7.6891,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Porta Semente,588680.97,8892349.191
82,1784,716,Manitê,293,93.26,95,16,1,0.6832,7.6514,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Explorável,588659.264,8892346.223
82,1785,154,Castanharana vermelha,185,58.89,55,17,1,0.2724,3.241,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,588667.484,8892334.237
83,1786,263,Guaribeiro,195,62.07,65,16,1,0.3026,3.389,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588662.361,8892279.354
83,1787,246,Figueira,245,77.99,75,15,2,0.4777,5.0155,"Ficus maxima Mill,",Moraceae,,Porta Semente,588664.276,8892284.734
83,1788,192,Cumaru ferro,251,79.9,75,16,1,0.5013,5.6151,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Explorável,588679.541,8892264.844
83,1789,192,Cumaru ferro,314,99.95,95,17,1,0.7846,9.3368,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Explorável,588724.944,8892311.129
83,1790,154,Castanharana vermelha,196,62.39,65,16,1,0.3057,3.4239,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,588752.213,8892282.497
83,1791,246,Figueira,335,106.63,105,15,2,0.8931,9.3771,"Ficus maxima Mill,",Moraceae,,Porta Semente,588878.818,8892273.26
83,1792,61,Aroeira,201,63.98,65,20,1,0.3215,4.501,Astronium lecointei Ducke,Anacardiaceae,,Explorável,588977.572,8892313.593
83,1793,263,Guaribeiro,283,90.08,95,17,1,0.6373,7.5842,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588995.993,8892299.803
83,1794,255,Garapeira,283,90.08,95,17,1,0.6373,7.5842,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,589094.225,8892318.06
84,1795,640,Imbiridiba amarela,159,50.61,55,10,1,0.2012,1.4083,"Terminalia amazonica (J, F, Gmel,) Exell",Combretaceae,,Explorável,589043.934,8892260.999
84,1796,716,Manitê,177,56.34,55,15,1,0.2493,2.6177,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Explorável,589029.555,8892263.954
84,1797,61,Aroeira,173,55.07,55,17,1,0.2382,2.8342,Astronium lecointei Ducke,Anacardiaceae,,Explorável,588928.943,8892278.16
84,1798,610,Amarelão,204,64.94,65,18,2,0.3312,4.1727,Aspidosperma williamsii Duarte,Apocynaceae,,Porta Semente,588908.611,8892258.858
84,1799,577,Marfim roxo,148,47.11,45,11,2,0.1743,1.3422,"Aspidosperma desmanthum Benth, ex M³ll, Arg,",Apocynaceae,,Corte futuro,588868.989,8892258.761
84,1800,61,Aroeira,220,70.03,75,18,1,0.3852,4.853,Astronium lecointei Ducke,Anacardiaceae,,Explorável,588771.083,8892230.484
84,1801,160,Caucho,188,59.84,55,10,1,0.2813,1.9688,"Castilla ulei Warb,",Moraceae,,Explorável,588763.828,8892239.158
84,1802,160,Caucho,153,48.7,45,16,1,0.1863,2.0864,"Castilla ulei Warb,",Moraceae,,Corte futuro,588733.439,8892242.653
84,1803,291,Itaúba,173,55.07,55,14,1,0.2382,2.334,"Mezilaurus itauba (Meisn,) Taub, ex Mez",Lauraceae,,Rara,588732.039,8892252.369
84,1804,182,Copaíba,332,105.68,105,15,1,0.8771,9.2099,Copaifera multijuga Hayne,Caesalpiniaceae,,Explorável,588727.792,8892243.918
85,1805,160,Caucho,157,49.97,45,10,1,0.1962,1.3731,"Castilla ulei Warb,",Moraceae,,Corte futuro,588672.174,8892197.506
85,1806,467,Pinho cuiabano,168,53.48,55,14,1,0.2246,2.2011,"Schizolobium amazonicum Huber ex Ducke,",Caesalpiniaceae,,Porta Semente,588712.126,8892205.354
85,1807,255,Garapeira,198,63.03,65,17,1,0.312,3.7125,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,588715.158,8892220.519
85,1808,160,Caucho,176,56.02,55,11,2,0.2465,1.898,"Castilla ulei Warb,",Moraceae,,Porta Semente,588769.175,8892209.097
85,1809,255,Garapeira,192,61.12,65,15,1,0.2934,3.0802,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,588784.985,8892216.834
85,1810,307,Jequitibá,232,73.85,75,16,1,0.4283,4.7972,Cariniana micrantha Ducke,Lecythidaceae,,Porta Semente,588822.167,8892218.309
85,1811,307,Jequitibá,298,94.86,95,16,1,0.7067,7.9148,Cariniana micrantha Ducke,Lecythidaceae,,Explorável,588845.955,8892209.001
85,1812,610,Amarelão,171,54.43,55,17,2,0.2327,2.769,Aspidosperma williamsii Duarte,Apocynaceae,,Porta Semente,588866.835,8892208.319
85,1813,192,Cumaru ferro,220,70.03,75,15,1,0.3852,4.0441,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Porta Semente,588885.201,8892213.001
85,1814,255,Garapeira,200,63.66,65,15,2,0.3183,3.3423,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Porta Semente,588971.385,8892222.353
85,1815,168,Cedro rosa,173,55.07,55,10,1,0.2382,1.6672,"Cedrela odorata L,",Meliaceae,,Explorável,589016.73,8892218.858
85,1816,304,Jatobá,273,86.9,85,15,2,0.5931,6.2274,"Hymenaea courbaril L,",Caesalpiniaceae,,Rara,589017.007,8892238.043
85,1817,160,Caucho,139,44.25,45,11,1,0.1538,1.1839,"Castilla ulei Warb,",Moraceae,,Corte futuro,589110.927,8892229.238
85,1818,255,Garapeira,213,67.8,65,15,2,0.361,3.7909,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,589128.186,8892216.952
86,1819,571,Castanharana branca,223,70.98,75,18,2,0.3957,4.9862,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Porta Semente,589147.846,8892180.127
86,1820,155,Castanheira,,,#VALUE!,,,,,"Bertholletia excelsa Kunth,",Lecythidaceae,,Proibida,589093.056,8892194.508
86,1821,571,Castanharana branca,169,53.79,55,15,1,0.2273,2.3865,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,589033.635,8892167.517
86,1822,610,Amarelão,193,61.43,65,17,1,0.2964,3.5274,Aspidosperma williamsii Duarte,Apocynaceae,,Explorável,589018.109,8892170.882
86,1823,160,Caucho,171,54.43,55,13,1,0.2327,2.1175,"Castilla ulei Warb,",Moraceae,,Explorável,588953.369,8892173.758
86,1824,168,Cedro rosa,149,47.43,45,12,1,0.1767,1.484,"Cedrela odorata L,",Meliaceae,,Corte futuro,588943.706,8892181.65
86,1825,61,Aroeira,150,47.75,45,16,1,0.179,2.0054,Astronium lecointei Ducke,Anacardiaceae,,Corte futuro,588901.034,8892166.518
86,1826,170,Cerejeira,266,84.67,85,15,1,0.5631,5.9121,"Amburana acreana (Ducke) A, C, Sm,",Fabaceae,,Explorável,588812.165,8892200.733
86,1827,610,Amarelão,145,46.15,45,15,2,0.1673,1.7568,Aspidosperma williamsii Duarte,Apocynaceae,,Corte futuro,588693.868,8892162.477
87,1828,513,Sumauma branca,421,134.01,135,20,1,1.4104,19.7461,"Ceiba pentandra (L,) Gaertn,",Malvaceae,,Explorável,588813.795,8892105.294
