picada,placa,codigo,comum,cap,dap,cc,hc,qf,g,volume,cientifico,familia,obs,categoria,coordx,coordy
60,1529,716,Manitê,314,99.95,95,15,2,0.7846,8.2383,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Porta Semente,588629.161,8893432.287
60,1530,516,Sumauma preta,147,46.79,45,10,1,0.172,1.2037,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Corte futuro,588613.78,8893423.816
60,1531,516,Sumauma preta,165,52.52,55,16,1,0.2166,2.4265,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588600.624,8893423.469
60,1532,571,Castanharana branca,153,48.7,45,15,2,0.1863,1.956,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Corte futuro,588546.879,8893430.468
61,1533,716,Manitê,297,94.54,95,14,1,0.7019,6.8791,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Explorável,588540.043,8893400.02
61,1534,61,Aroeira,152,48.38,45,18,1,0.1839,2.3166,Astronium lecointei Ducke,Anacardiaceae,,Corte futuro,588545.613,8893363.666
61,1535,246,Figueira,158,50.29,55,14,2,0.1987,1.9468,"Ficus maxima Mill,",Moraceae,,Porta Semente,588571.005,8893396.951
61,1536,157,Catuaba,146,46.47,45,14,1,0.1696,1.6623,"Qualea tessmannii Mildbr,",Vochysiaceae,,Corte futuro,588650.778,8893417.469
61,1537,434,Ipê amarelo,120,38.2,35,16,1,0.1146,1.2834,"Tabebuia serratifolia (Vahl) G, Nicholson",Bignoniaceae,,Corte futuro,588787.279,8893403.538
61,1538,513,Sumauma branca,220,70.03,75,17,1,0.3852,4.5833,"Ceiba pentandra (L,) Gaertn,",Malvaceae,,Porta Semente,588786.838,8893399.85
61,1539,369,Marfim,183,58.25,55,13,3,0.2665,2.4251,Agonandra brasiliensis Miers ex Benth,Opiliaceae,,Rara,588811.731,8893402.161
61,1540,394,Mulateiro,210,66.85,65,15,1,0.3509,3.6848,"Calycophyllum spruceanum (Benth,) K, Schum,",Rubiaceae,,Explorável,588810.583,8893406.001
61,1541,263,Guaribeiro,195,62.07,65,18,1,0.3026,3.8127,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588823.953,8893411.316
61,1542,571,Castanharana branca,188,59.84,55,15,1,0.2813,2.9532,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,588836.561,8893416.16
61,1543,192,Cumaru ferro,220,70.03,75,15,1,0.3852,4.0441,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Porta Semente,588843.972,8893433.761
61,1544,348,Maçaranduba,251,79.9,75,16,1,0.5013,5.6151,"Manilkara bidentata (A, DC,) subsp, surinamensis (Miq,) T, D, Penn",Sapotaceae,,Rara,588836.141,8893421.166
61,1545,571,Castanharana branca,188,59.84,55,17,1,0.2813,3.347,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,588859.45,8893425.539
61,1546,192,Cumaru ferro,226,71.94,75,14,1,0.4064,3.9832,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Explorável,588869.887,8893411.074
61,1547,571,Castanharana branca,253,80.53,85,15,1,0.5094,5.3484,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,588952,8893422.744
61,1548,155,Castanheira,,,#VALUE!,,,,,"Bertholletia excelsa Kunth,",Lecythidaceae,,Proibida,588973.304,8893415.064
62,1549,571,Castanharana branca,277,88.17,85,16,1,0.6106,6.8386,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,588952.782,8893389.534
62,1550,40,Angelim,283,90.08,95,15,1,0.6373,6.6919,Hymenolobium excelsum Ducke,Fabaceae,,Rara,588916.936,8893378.556
62,1551,571,Castanharana branca,161,51.25,55,17,1,0.2063,2.4546,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Porta Semente,588857.921,8893360.396
